code_short,year,penalty_type,mean_value,median_value,count
УК,2024,warning,,,0
УК,2025,arrest_days,40.99027409372237,40.0,1131
УК,2025,community_service_hours,471.40813589628965,600.0,2237
УК,2025,confiscation,,,0
УК,2025,death_penalty_mention,,,0
УК,2025,deportation,,,0
УК,2025,deprivation_right,,,0
УК,2025,fine_mrp,1647.9470672389127,2000.0,2796
УК,2025,imprisonment_years,8.471173786810452,7.0,2411
УК,2025,life_imprisonment,,,0
УК,2025,restriction_freedom,3.054640417838489,3.0,2489
УК,2025,suspension,,,0
УК,2025,warning,,,0
